title
1001 Nights
101 Dalmatians (1996 film)
"20,000 Leagues Under the Sea"
25th Hour
29 Dates
The Adventures of Huck Finn
The Adventures of Ichabod and Mr. Toad
Aladdin (film)
Aladdin (2019 film)
"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (remake)"
Category:Alice in Wonderland
Alice in Wonderland (1951 film)
Alice in Wonderland (2010 film)
Alice Through the Looking Glass
All of Us Strangers
Annie (film)
Antlers
The Apple Dumpling Gang Rides Again
The Apple Dumpling Gang
The Art of Racing in the Rain
Artemis Fowl
Avalon High
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn
Balloon Farm
Bambi (CGI film)
Bambi (film)
The Bears and I
Beauty and the Beast (1991 film)
Beauty and the Beast (2017 film)
Bedknobs and Broomsticks
Before and After
Ben and Me
Better Nate Than Ever
Beverly Hills Family Robinson
Beyond Witch Mountain
The BFG
Bicentennial Man
Big Red
Big Trouble
The Biscuit Eater
Black Arrow
Black Beauty
The Black Cauldron
Blackbeard's Ghost
The Boogeyman
The Brave Little Toaster Goes to Mars
The Brave Little Toaster to the Rescue
The Brave Little Toaster
Breakfast of Champions
Breakthrough
Bridge to Terabithia
The Call of the Wild
Can of Worms
Candleshoe
Category:Candleshoe
Catfish Bend
Charley and the Angel
Cheaper by the Dozen
Cheetah
The Cheetah Girls 2
The Cheetah Girls
The Cheetah Girls: One World
Child of Glass
A Christmas Carol
Christopher Robin (film)
The Chronicles of Narnia: Prince Caspian
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Chronicles of Prydain
Cinderella (1922 film)
Cinderella (2015 film)
Clouds (film)
Cocktail
Confessions of a Teenage Drama Queen
The Count of Monte Cristo
Darby O'Gill and the Little People
Daughter Of The Deep
Death on the Nile
Deep Water
Delilah Dirk and the Turkish Lieutenant
Diary of a Wimpy Kid
Diary of a Wimpy Kid (film series)
Diary of a Wimpy Kid Christmas: Cabin Fever
Diary of a Wimpy Kid: Rodrick Rules
Down the Long Hills
Dumbo (1941 film)
Dumbo (2019 film)
Eloise at the Plaza
Emil and the Detectives
Escape to Witch Mountain
Escape to Witch Mountain (1995 film)
Fantasia
Fantasia 2000
A Far Off Place
The Fighting Prince of Donegal
Category:Films based on comics
The Finest Hours
"Follow Me, Boys!"
The Four Musicians of Bremen
The Fox and the Hound
Freaky Friday (1976 film)
Freaky Friday (1995 film)
Freaky Friday (2003 film)
Freaky Friday (2018 film)
Category:Frenemies
Frenemies (2012 film)
A Friendship in Vienna
From the Desk of Zoe Washington
Fun and Fancy Free
Geek Charming
Geppetto (film)
Gigantic
The Gnome-Mobile
The Great Mouse Detective
The Greatest Game Ever Played
