title
1001 Nights
101 Dalmatians
"20,000 Leagues Under the Sea"
25th Hour
29 Dates
The Adventures of Huck Finn
The Adventures of Ichabod and Mr. Toad
Aladdin
Aladdin
"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
Category:Alice in Wonderland
Alice in Wonderland
Alice in Wonderland
Alice Through the Looking Glass
All of Us Strangers
Annie
Antlers
The Apple Dumpling Gang Rides Again
The Apple Dumpling Gang
The Art of Racing in the Rain
Artemis Fowl
Avalon High
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn
Balloon Farm
Bambi
Bambi
The Bears and I
Beauty and the Beast
Beauty and the Beast
Bedknobs and Broomsticks
Before and After
Ben and Me
Better Nate Than Ever
Beverly Hills Family Robinson
Beyond Witch Mountain
The BFG
Bicentennial Man
Big Red
Big Trouble
The Biscuit Eater
Black Arrow
Black Beauty
The Black Cauldron
Blackbeard's Ghost
The Boogeyman
The Brave Little Toaster Goes to Mars
The Brave Little Toaster to the Rescue
The Brave Little Toaster
Breakfast of Champions
Breakthrough
Bridge to Terabithia
The Call of the Wild
Can of Worms
Candleshoe
Category:Candleshoe
Catfish Bend
Charley and the Angel
Cheaper by the Dozen
Cheetah
The Cheetah Girls 2
The Cheetah Girls
The Cheetah Girls: One World
Child of Glass
A Christmas Carol
Christopher Robin
The Chronicles of Narnia: Prince Caspian
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Chronicles of Prydain
Cinderella
Cinderella
Clouds
Cocktail
Confessions of a Teenage Drama Queen
The Count of Monte Cristo
Darby O'Gill and the Little People
Daughter Of The Deep
Death on the Nile
Deep Water
Delilah Dirk and the Turkish Lieutenant
Diary of a Wimpy Kid
Diary of a Wimpy Kid
Diary of a Wimpy Kid Christmas: Cabin Fever
Diary of a Wimpy Kid: Rodrick Rules
Down the Long Hills
Dumbo
Dumbo
Eloise at the Plaza
Emil and the Detectives
Escape to Witch Mountain
Escape to Witch Mountain
Fantasia
Fantasia 2000
A Far Off Place
The Fighting Prince of Donegal
Category:Films based on comics
The Finest Hours
"Follow Me, Boys!"
The Four Musicians of Bremen
The Fox and the Hound
Freaky Friday
Freaky Friday
Freaky Friday
Freaky Friday
Category:Frenemies
Frenemies
A Friendship in Vienna
From the Desk of Zoe Washington
Fun and Fancy Free
Geek Charming
Geppetto
Gigantic
The Gnome-Mobile
The Great Mouse Detective
The Greatest Game Ever Played
Guns in the Heather
Hamilton
Harriet the Spy: Blog Wars
A Haunting in Venice
Heidi
Hellraiser
The Help
The Hero from Otherwhere
Holes
Hollywood Stargirl
Homeward Bound: The Incredible Journey
Howl's Moving Castle
Hunchback
The Hunchback of Notre Dame
I Am Number Four
In Search of the Castaways
The Incredible Journey
The Invisible
The Island at the Top of the World
James and the Giant Peach
The Jennie Project
John Carter
Johnny Tremain
The Joy Luck Club
The Jungle Book
The Jungle Book
The Jungle Book 2
Category:The Jungle Book
The Jungle Book: Mowgli's Story
Kidnapped
Kiki's Delivery Service
King of the Elves
Kingdom of the Planet of the Apes
A Knight in Camelot
Krippendorf's Tribe
Lady and the Tramp
Lady and the Tramp
Lantern Hill
The Last Duel
The Last Song
Lemonade Mouth
The Light in the Forest
Lilly the Witch: The Dragon and the Magic Book
The Little Broomstick
Little House on the Prairie
The Little House
The Little Mermaid
The Little Mermaid
The Love Bug
Lt. Robin Crusoe USN
Maleficent
Mark Twain and Me
Mars Needs Moms
Marvel Rising: Secret Warriors
Mary Poppins
Mary Poppins Returns
Meet the Robinsons
Merlin
Mickey's Christmas Carol
"Mickey, Donald, Goofy: The Three Musketeers"
Mistress Masham's Repose
Mockingbird
Model Behavior
Moon Pilot
The Moon-Spinners
Mountain Born
The Muppet Christmas Carol
The Muppets' Wizard of Oz
Never a Dull Moment
Never Cry Wolf
Nightmare Alley
Nomadland
Not Quite Human
Not Quite Human II
The Nutcracker and the Four Realms
The Old Curiosity Shop
Old Yeller
Oliver & Company
Oliver Twist
Oliver Twist
The One and Only Ivan
One Hundred and One Dalmatians
The Other Me
The Other Side of Heaven
Out of My Mind
Oz the Great and Powerful
The Parent Trap
The Parent Trap II
The Parent Trap III
The Parent Trap IV: Hawaiian Honeymoon
The Parent Trap
Perri
The Personal History of David Copperfield
Pete's Dragon
Pete's Dragon
Peter Pan & Wendy
Peter Pan
Pinocchio
Pinocchio
Polly
Pollyanna
Poor Things
The Prestige
The Prince and the Pauper
Prince Brat and The Whipping Boy
The Princess and the Frog
The Princess and the Frog
The Princess Diaries 2: Royal Engagement
The Princess Diaries
Quasi
Queen of Katwe
Race to Witch Mountain
Radio Rebel
Rascal
Category:Rascal
Read It and Weep
Category:Read It and Weep
The Reluctant Dragon
Category:The Reluctant Dragon
The Rescuers
Return from Witch Mountain
Return to Oz
Category:Return to Oz
Ride a Wild Pony
A Ring of Endless Light
"Rob Roy, the Highland Rogue"
Robin Hood
Robin Hood
Rodgers & Hammerstein's Cinderella
Rosaline
Rose Red
The Scarlet Letter
The Secret World of Arrietty
Secretariat
"Selma, Lord, Selma"
The Shaggy D.A.
The Shaggy Dog
The Shaggy Dog
The Shaggy Dog
Shang-Chi and the Legend of the Ten Rings
The Shepherd
Shipwrecked
Simon Birch
Sleeping Beauty
The Slumber Party
The Small One
Sneakerella
Snow Dogs
Snow White
Snowball Express
So Dear to My Heart
Something Wicked This Way Comes
Something Wicked This Way Comes
Song for a Whale
Song of the South
The Sorcerer's Apprentice
Sounder
Stargirl
Starship Troopers
Stepsister from Planet Weird
Still Not Quite Human
The Story of Robin Hood and His Merrie Men
Superfudge
The Swap
Swiss Family Robinson
Swiss Family Robinson
The Sword and the Rose
The Sword in the Stone
The Sword in the Stone
Tales from Earthsea
Tarzan
Tex
That Darn Cat
That Darn Cat!
The Amateur
The Graveyard Book
The Many Adventures of Winnie the Pooh
The Princess Diaries 3
The Tourist
Third Man on the Mountain
Those Calloways
A Thousand Acres
The Three Lives of Thomasina
The Three Musketeers
Category:A Tiger Walks
A Tiger Walks
Timmy Failure: Mistakes Were Made
Tink
Toby Tyler
Tom and Huck
Category:Tom Sawyer
Tonka
Treasure Island
Treasure of Matecumbe
Treasure Planet
Tuck Everlasting
Twitches
Twitches Too
