title,year,score,actors,director
"
National Treasure (2004)  46%
",(2004),46%,"
Starring: Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean","
Directed By: Jon Turteltaub"
"
Freaky Friday (2003)  88%
",(2003),88%,"
Starring: Jamie Lee Curtis, Lindsay Lohan, Mark Harmon, Harold Gould","
Directed By: Mark Waters"
"
Pirates of the Caribbean: The Curse of the Black Pearl (2003)  80%
",(2003),80%,"
Starring: Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","
Directed By: Gore Verbinski"
"
Finding Nemo (2003)  99%
",(2003),99%,"
Starring: Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","
Directed By: Andrew Stanton"
"
Holes (2003)  78%
",(2003),78%,"
Starring: Sigourney Weaver, Jon Voight, Patricia Arquette, Tim Blake Nelson","
Directed By: Andrew Davis"
"
The Rookie (2002)  84%
",(2002),84%,"
Starring: Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant","
Directed By: John Lee Hancock"
"
Lilo & Stitch (2002)  87%
",(2002),87%,"
Starring: Daveigh Chase, Christopher Sanders, Tia Carrere, David Ogden Stiers","
Directed By: Dean DeBlois, Christopher Sanders"
"
Monsters, Inc. (2001)  96%
",(2001),96%,"
Starring: John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","
Directed By: Pete Docter"
"
The Emperor's New Groove (2000)  86%
",(2000),86%,"
Starring: David Spade, John Goodman, Eartha Kitt, Patrick Warburton","
Directed By: Mark Dindal"
"
Remember the Titans (2000)  72%
",(2000),72%,"
Starring: Denzel Washington, Will Patton, Donald Faison, Wood Harris","
Directed By: Boaz Yakin"
"
The Straight Story (1999)  94%
",(1999),94%,"
Starring: Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Everett McGill","
Directed By: David Lynch"
"
Toy Story 2 (1999)  100%
",(1999),100%,"
Starring: Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer","
Directed By: Ash Brannon, John Lasseter, Lee Unkrich"
"
Tarzan (1999)  89%
",(1999),89%,"
Starring: Tony Goldwyn, Glenn Close, Minnie Driver, Rosie O'Donnell","
Directed By: Chris Buck, Kevin Lima"
"
The Parent Trap (1998)  87%
",(1998),87%,"
Starring: Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix","
Directed By: Nancy Meyers"
"
Mulan (1998)  86%
",(1998),86%,"
Starring: Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer","
Directed By: Barry Cook, Tony Bancroft"
"
Hercules (1997)  82%
",(1997),82%,"
Starring: Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito","
Directed By: Ron Clements, John Musker"
"
The Hunchback of Notre Dame (1996)  71%
",(1996),71%,"
Starring: Tom Hulce, Demi Moore, Tony Jay, Kevin Kline","
Directed By: Gary Trousdale, Kirk Wise"
"
James and the Giant Peach (1996)  91%
",(1996),91%,"
Starring: Paul Terry, Joanna Lumley, Miriam Margolyes, Pete Postlethwaite","
Directed By: Henry Selick"
"
Toy Story (1995)  100%
",(1995),100%,"
Starring: Tom Hanks, Tim Allen, Don Rickles, Jim Varney","
Directed By: John Lasseter"
"
Pocahontas (1995)  54%
",(1995),54%,"
Starring: Irene Bedard, Judy Kuhn, Mel Gibson, Linda Hunt","
Directed By: Mike Gabriel, Eric Goldberg"
"
The Lion King (1994)  93%
",(1994),93%,"
Starring: Matthew Broderick, Jeremy Irons, James Earl Jones, Madge Sinclair","
Directed By: Roger Allers, Rob Minkoff"
"
The Santa Clause (1994)  73%
",(1994),73%,"
Starring: Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd","
Directed By: John Pasquin"
"
Homeward Bound: The Incredible Journey (1993)  87%
",(1993),87%,"
Starring: Don Ameche, Michael J. Fox, Sally Field, Don Adler","
Directed By: Duwayne Dunham"
"
Cool Runnings (1993)  76%
",(1993),76%,"
Starring: Leon, Doug E. Doug, Malik Yoba, John Candy","
Directed By: Jon Turteltaub"
"
Hocus Pocus (1993)  40%
",(1993),40%,"
Starring: Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz","
Directed By: Kenny Ortega"
"
Newsies (1992)  39%
",(1992),39%,"
Starring: Christian Bale, Robert Duvall, Ann-Margret, David Moscow","
Directed By: Kenny Ortega"
"
Aladdin (1992)  95%
",(1992),95%,"
Starring: Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman","
Directed By: Ron Clements, John Musker"
"
The Muppet Christmas Carol (1992)  77%
",(1992),77%,"
Starring: Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson","
Directed By: Brian Henson"
"
The Rocketeer (1991)  67%
",(1991),67%,"
Starring: Billy Campbell, Jennifer Connelly, Timothy Dalton, Alan Arkin","
Directed By: Joe Johnston"
"
Beauty and the Beast (1991)  93%
",(1991),93%,"
Starring: Paige O'Hara, Robby Benson, Richard White, Jerry Orbach","
Directed By: Gary Trousdale, Kirk Wise"
