title,year,score,actors,director,comparison_score
The Rookie,2002,84%,"['Dennis Quaid', ' Rachel Griffiths', ' Jay Hernandez', ' Beth Grant']",['John Lee Hancock'],8.4
Lilo & Stitch,2002,87%,"['Daveigh Chase', ' Christopher Sanders', ' Tia Carrere', ' David Ogden Stiers']","['Dean DeBlois', ' Christopher Sanders']",8.7
"Monsters, Inc.",2001,96%,"['John Goodman', ' Billy Crystal', ' Mary Gibbs', ' Steve Buscemi']",['Pete Docter'],9.6
The Emperor's New Groove,2000,86%,"['David Spade', ' John Goodman', ' Eartha Kitt', ' Patrick Warburton']",['Mark Dindal'],8.6
Remember the Titans,2000,72%,"['Denzel Washington', ' Will Patton', ' Donald Faison', ' Wood Harris']",['Boaz Yakin'],7.2
The Straight Story,1999,94%,"['Richard Farnsworth', ' Sissy Spacek', ' Jane Galloway Heitz', ' Everett McGill']",['David Lynch'],9.4
Toy Story 2,1999,100%,"['Tom Hanks', ' Tim Allen', ' Joan Cusack', ' Kelsey Grammer']","['Ash Brannon', ' John Lasseter', ' Lee Unkrich']",10.0
Tarzan,1999,89%,"['Tony Goldwyn', ' Glenn Close', ' Minnie Driver', "" Rosie O'Donnell""]","['Chris Buck', ' Kevin Lima']",8.9
The Parent Trap,1998,87%,"['Lindsay Lohan', ' Dennis Quaid', ' Natasha Richardson', ' Elaine Hendrix']",['Nancy Meyers'],8.7
Mulan,1998,86%,"['Ming-Na Wen', ' Eddie Murphy', ' BD Wong', ' Miguel Ferrer']","['Barry Cook', ' Tony Bancroft']",8.6
Hercules,1997,82%,"['Tate Donovan', ' Josh Keaton', ' Roger Bart', ' Danny DeVito']","['Ron Clements', ' John Musker']",8.2
The Hunchback of Notre Dame,1996,71%,"['Tom Hulce', ' Demi Moore', ' Tony Jay', ' Kevin Kline']","['Gary Trousdale', ' Kirk Wise']",7.1
James and the Giant Peach,1996,91%,"['Paul Terry', ' Joanna Lumley', ' Miriam Margolyes', ' Pete Postlethwaite']",['Henry Selick'],9.1
Toy Story,1995,100%,"['Tom Hanks', ' Tim Allen', ' Don Rickles', ' Jim Varney']",['John Lasseter'],10.0
Pocahontas,1995,54%,"['Irene Bedard', ' Judy Kuhn', ' Mel Gibson', ' Linda Hunt']","['Mike Gabriel', ' Eric Goldberg']",5.4
The Lion King,1994,93%,"['Matthew Broderick', ' Jeremy Irons', ' James Earl Jones', ' Madge Sinclair']","['Roger Allers', ' Rob Minkoff']",9.3
The Santa Clause,1994,73%,"['Tim Allen', ' Judge Reinhold', ' Wendy Crewson', ' Eric Lloyd']",['John Pasquin'],7.3
Homeward Bound: The Incredible Journey,1993,87%,"['Don Ameche', ' Michael J. Fox', ' Sally Field', ' Don Adler']",['Duwayne Dunham'],8.7
Cool Runnings,1993,76%,"['Leon', ' Doug E. Doug', ' Malik Yoba', ' John Candy']",['Jon Turteltaub'],7.6
